epoch,train_loss,val_acc
1,0.00611,1.0
2,0.00111,1.0
3,0.00397,1.0
4,0.00158,1.0
5,0.00366,0.99933
6,0.00047,1.0
7,5e-05,1.0
8,0.00604,1.0
9,0.00102,1.0
10,0.00028,1.0
11,0.00017,1.0
12,0.00028,1.0
13,0.00024,1.0
14,0.01216,0.99933
15,0.00301,1.0
