model_version,skin_tone_proxy,sample_count,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate
v1,Dark,19,1.0,1.0,1.0,1.0,0.0,0.0
v1,Light,68,1.0,1.0,1.0,1.0,0.0,0.0
v1,Medium,63,1.0,1.0,1.0,1.0,0.0,0.0
v2,Dark,19,1.0,1.0,1.0,1.0,0.0,0.0
v2,Light,68,1.0,1.0,1.0,1.0,0.0,0.0
v2,Medium,63,1.0,1.0,1.0,1.0,0.0,0.0
v3,Dark,19,1.0,1.0,1.0,1.0,0.0,0.0
v3,Light,68,1.0,1.0,1.0,1.0,0.0,0.0
v3,Medium,63,1.0,1.0,1.0,1.0,0.0,0.0
