epoch,train_loss,val_acc
1,0.02053,0.99933
2,0.00454,1.0
3,0.00431,1.0
4,0.0039,0.99933
5,0.00336,1.0
6,0.0009,1.0
7,0.00636,1.0
8,0.00155,1.0
9,0.00051,1.0
10,0.00074,1.0
11,0.00027,1.0
12,0.00017,1.0
13,0.00254,1.0
14,0.00065,1.0
15,0.00895,1.0
