epoch,train_loss,val_acc
1,0.00527,1.0
2,0.00345,1.0
3,0.00095,1.0
4,0.00164,1.0
5,0.00055,1.0
6,0.00559,1.0
7,0.00113,1.0
8,0.00162,1.0
9,0.00114,1.0
10,0.00038,1.0
11,0.00414,0.99867
12,0.00281,0.99734
13,0.00149,1.0
14,0.0027,1.0
15,0.00253,1.0
