class,precision,recall,f1_score,support
non-psoriasis,0.9983766233766234,1.0,0.9991876523151909,615.0
psoriasis,1.0,0.9988713318284425,0.9994353472614342,886.0
weighted_avg,0.999334859011741,0.9993337774816788,0.9993338599916542,1501.0
