class,precision,recall,f1_score,support
non-psoriasis,0.7281553398058253,1.0,0.8426966292134831,75.0
psoriasis,1.0,0.6266666666666667,0.7704918032786885,75.0
weighted_avg,0.8640776699029126,0.8133333333333334,0.8065942162460857,150.0
